number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,1.7945756608196233,0.7732623891889455,0.530876310029788,rmse,0.047432160925521126,0.0014840792910390727,20,101,reg:squarederror,0.5082055683806704,gpu_hist,COMPLETE
1,0.8652326642787499,0.7643182939003731,0.31496414323726735,rmse,0.21378922493578767,0.05350471699072771,20,14,reg:squarederror,0.655973950924007,gpu_hist,COMPLETE
2,0.8530295885492731,0.21874011510725394,0.36574397325032615,rmse,0.6634121128636431,0.010619599474038273,3,122,reg:squarederror,0.9483403945085312,gpu_hist,COMPLETE
3,0.8530278522506106,0.2713653409822488,0.47929806957829446,rmse,0.4013221511813971,0.03270672503153136,15,72,reg:squarederror,0.40727613692347797,gpu_hist,COMPLETE
4,0.9892287909180401,8.008516286816718,0.8747885770836108,rmse,0.00152886772275505,0.0026435054580183585,13,19,reg:squarederror,0.8031371763024512,gpu_hist,COMPLETE
5,0.8549678007243998,0.07645696575868804,0.44835073690510274,rmse,0.06274956706316823,0.029246049340231443,20,74,reg:squarederror,0.4300744809692136,gpu_hist,COMPLETE
6,0.8444253725955864,0.1328492191275211,0.8887584996366573,rmse,0.1830362742210471,0.06903410749616319,5,286,reg:squarederror,0.5043309842611847,gpu_hist,COMPLETE
7,1.384696065851597,0.5926283181548768,0.3361776043928002,rmse,0.002661055740433567,0.0018553335655023197,9,216,reg:squarederror,0.5441030599165337,gpu_hist,COMPLETE
8,0.8446852204287567,1.7850286743855552,0.9905213621184636,rmse,0.10716499491549382,0.03423982483735926,7,35,reg:squarederror,0.967280127353034,gpu_hist,COMPLETE
9,0.8432564684807332,2.98489252188166,0.7335971286000322,rmse,0.6800996275197497,0.03158594700178194,5,75,reg:squarederror,0.4565543686123925,gpu_hist,COMPLETE
